file,signal_rms,error_rms
11025/Amarent_And_the_Beat_Goes_On.aiff,0.30286,0.014672
11025/Blood_God_Satans_Smile.aiff,0.24711,0.016409
11025/eddy_Pure_Adrenaline.aiff,0.35759,0.023565
11025/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21345,0.0074754
11025/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.0024852
11025/Kevin_MacLeod_Ghost_Dance.aiff,0.046513,0.0021112
11025/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12179,0.00482
11025/Pumpupthemind_Cool_Funk.aiff,0.24955,0.010711
11025/Starseed_The_Forlorn.aiff,0.19702,0.016113
11025/Stephan_Siebert_when.aiff,0.044703,0.00087321
11025/The_Tudor_Consort_Sanctus.aiff,0.089553,0.0042356
16000/Amarent_And_the_Beat_Goes_On.aiff,0.30451,0.01272
16000/Blood_God_Satans_Smile.aiff,0.25027,0.015538
16000/eddy_Pure_Adrenaline.aiff,0.35957,0.019797
16000/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21422,0.0069871
16000/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.0012528
16000/Kevin_MacLeod_Ghost_Dance.aiff,0.046543,0.0014057
16000/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12183,0.0031292
16000/Pumpupthemind_Cool_Funk.aiff,0.25103,0.0099093
16000/Starseed_The_Forlorn.aiff,0.20026,0.015219
16000/Stephan_Siebert_when.aiff,0.044703,0.00046203
16000/The_Tudor_Consort_Sanctus.aiff,0.089566,0.0025312
22050/Amarent_And_the_Beat_Goes_On.aiff,0.30538,0.011051
22050/Blood_God_Satans_Smile.aiff,0.25179,0.013719
22050/eddy_Pure_Adrenaline.aiff,0.36004,0.015091
22050/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21485,0.006783
22050/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.00066656
22050/Kevin_MacLeod_Ghost_Dance.aiff,0.046555,0.00095915
22050/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12194,0.0027479
22050/Pumpupthemind_Cool_Funk.aiff,0.25231,0.0094791
22050/Starseed_The_Forlorn.aiff,0.20223,0.013485
22050/Stephan_Siebert_when.aiff,0.044703,0.00025289
22050/The_Tudor_Consort_Sanctus.aiff,0.089574,0.0015667
32000/Amarent_And_the_Beat_Goes_On.aiff,0.30581,0.0086342
32000/Blood_God_Satans_Smile.aiff,0.25238,0.010581
32000/eddy_Pure_Adrenaline.aiff,0.36013,0.009558
32000/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21531,0.006087
32000/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.0003055
32000/Kevin_MacLeod_Ghost_Dance.aiff,0.046574,0.00071231
32000/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12196,0.0018682
32000/Pumpupthemind_Cool_Funk.aiff,0.25274,0.0078353
32000/Starseed_The_Forlorn.aiff,0.20277,0.010018
32000/Stephan_Siebert_when.aiff,0.044703,0.00012022
32000/The_Tudor_Consort_Sanctus.aiff,0.089575,0.00084931
44100/Amarent_And_the_Beat_Goes_On.aiff,0.30582,0.0059233
44100/Blood_God_Satans_Smile.aiff,0.25243,0.007316
44100/eddy_Pure_Adrenaline.aiff,0.36014,0.0057958
44100/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21546,0.0050203
44100/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.00015152
44100/Kevin_MacLeod_Ghost_Dance.aiff,0.046582,0.00055529
44100/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12196,0.0011905
44100/Pumpupthemind_Cool_Funk.aiff,0.25276,0.0055072
44100/Starseed_The_Forlorn.aiff,0.2028,0.0066409
44100/Stephan_Siebert_when.aiff,0.044703,6.0564e-05
44100/The_Tudor_Consort_Sanctus.aiff,0.089575,0.00047232
